task_id,mode,generated_text,elapsed_seconds,reference_count,error_text,text_length_chars,section_count,is_full_structure,has_error,platform_family,anchor_genre,source_game_name,brief_text,section_Название проекта,section_Краткая концепция,section_Жанр и целевая аудитория,section_Основной игровой цикл,section_Ключевые механики,section_Платформа,section_Художественный ориентир,section_Ограничение по масштабу,section_Игровые аналоги,section_Основные риски,section_Первый план работ,platform_alignment_flag,foreign_platform_mentions,scope_clarity_flag,risk_clarity_flag,task_fit,genre_fit,mechanics_specificity,scope_realism,risk_quality,coherence,short_comment,expert_elapsed_seconds,expert_error_text,expert_total_score,has_expert_error
TASK_122266,template,"### Название проекта
Проект Adventure 2266

### Краткая концепция
Предлагается игра для семейства платформ Nintendo, в которой центральный замысел строится вокруг следующего направления: A collection of the first 3 dragon quest games planned for release on the Nintendo Switch No western release was announced but Square Enix Asia listed an English option for the game

### Жанр и целевая аудитория
Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Role-playing (RPG). Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.

### Основной игровой цикл
Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.

### Ключевые механики
Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.

### Платформа
Основная целевая группа устройств относится к семейству платформ Nintendo. Управление и темп взаимодействия следует подстраивать под особенности данной среды.

### Художественный ориентир
целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения

### Ограничение по масштабу
Проект следует реализовывать как компактный по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.

### Игровые аналоги
На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.

### Основные риски
Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.

### Первый план работ
На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",0.0,4,,2022,11,True,False,Nintendo,Adventure,"Dragon Quest 1, 2, 3 Collection",Необходимо подготовить замысел игры для семейства платформ Nintendo. Основной жанровый ориентир проекта: Adventure. Дополнительные жанровые признаки: Role-playing (RPG). Предполагаемый масштаб проекта: компактный. Содержательное направление исходной идеи: A collection of the first 3 dragon quest games planned for release on the Nintendo Switch No western release was announced but Square Enix Asia listed an English option for the game,Проект Adventure 2266,"Предлагается игра для семейства платформ Nintendo, в которой центральный замысел строится вокруг следующего направления: A collection of the first 3 dragon quest games planned for release on the Nintendo Switch No western release was announced but Square Enix Asia listed an English option for the game","Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Role-playing (RPG). Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.","Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.","Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.",Основная целевая группа устройств относится к семейству платформ Nintendo. Управление и темп взаимодействия следует подстраивать под особенности данной среды.,"целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения","Проект следует реализовывать как компактный по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.","На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.","Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.","На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",1,0,1,1,4,4,3,4,4,5,"Документ в целом соответствует требованиям, но требует большей конкретики в механиках.",3.185610055923462,,80.0,False
TASK_102623,template,"### Название проекта
Проект Adventure 2623

### Краткая концепция
Предлагается игра для семейства платформ Nintendo, в которой центральный замысел строится вокруг следующего направления: You are in a beautiful villa overlooking the sea in Hawaii Find and combine items solve puzzles then escape After the ending play hideandseek with animals Can you find them all

### Жанр и целевая аудитория
Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Puzzle. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.

### Основной игровой цикл
Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.

### Ключевые механики
Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.

### Платформа
Основная целевая группа устройств относится к семейству платформ Nintendo. Управление и темп взаимодействия следует подстраивать под особенности данной среды.

### Художественный ориентир
целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения

### Ограничение по масштабу
Проект следует реализовывать как компактный по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.

### Игровые аналоги
На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.

### Основные риски
Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.

### Первый план работ
На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",0.0,4,,2005,11,True,False,Nintendo,Adventure,Escape Game: Aloha,Необходимо подготовить замысел игры для семейства платформ Nintendo. Основной жанровый ориентир проекта: Adventure. Дополнительные жанровые признаки: Puzzle. Предполагаемый масштаб проекта: компактный. Содержательное направление исходной идеи: You are in a beautiful villa overlooking the sea in Hawaii Find and combine items solve puzzles then escape After the ending play hideandseek with animals Can you find them all,Проект Adventure 2623,"Предлагается игра для семейства платформ Nintendo, в которой центральный замысел строится вокруг следующего направления: You are in a beautiful villa overlooking the sea in Hawaii Find and combine items solve puzzles then escape After the ending play hideandseek with animals Can you find them all","Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Puzzle. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.","Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.","Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.",Основная целевая группа устройств относится к семейству платформ Nintendo. Управление и темп взаимодействия следует подстраивать под особенности данной среды.,"целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения","Проект следует реализовывать как компактный по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.","На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.","Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.","На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",1,0,1,1,5,4,4,3,4,5,Документ хорошо структурирован и соответствует заданию.,2.3714749813079834,,83.33,False
TASK_26820,template,"### Название проекта
Проект Adventure 6820

### Краткая концепция
Предлагается игра для семейства платформ PC, в которой центральный замысел строится вокруг следующего направления: проект is a punishing actionplatformer that combines the fastpaced skilled combat of a hacknslash game with a deep and evocative narrative core Explore this nightmarish world of twisted religion and discover its...

### Жанр и целевая аудитория
Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Platform, Role-playing (RPG). Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.

### Основной игровой цикл
Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.

### Ключевые механики
Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.

### Платформа
Основная целевая группа устройств относится к семейству платформ PC. Управление и темп взаимодействия следует подстраивать под особенности данной среды.

### Художественный ориентир
целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения

### Ограничение по масштабу
Проект следует реализовывать как средний по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.

### Игровые аналоги
На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.

### Основные риски
Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.

### Первый план работ
На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",0.0,4,,2050,11,True,False,PC,Adventure,Blasphemous,"Необходимо подготовить замысел игры для семейства платформ PC. Основной жанровый ориентир проекта: Adventure. Дополнительные жанровые признаки: Platform, Role-playing (RPG). Предполагаемый масштаб проекта: средний. Содержательное направление исходной идеи: проект is a punishing actionplatformer that combines the fastpaced skilled combat of a hacknslash game with a deep and evocative narrative core Explore this nightmarish world of twisted religion and discover its...",Проект Adventure 6820,"Предлагается игра для семейства платформ PC, в которой центральный замысел строится вокруг следующего направления: проект is a punishing actionplatformer that combines the fastpaced skilled combat of a hacknslash game with a deep and evocative narrative core Explore this nightmarish world of twisted religion and discover its...","Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Platform, Role-playing (RPG). Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.","Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.","Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.",Основная целевая группа устройств относится к семейству платформ PC. Управление и темп взаимодействия следует подстраивать под особенности данной среды.,"целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения","Проект следует реализовывать как средний по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.","На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.","Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.","На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",1,0,1,1,4,4,3,4,4,5,"Документ в целом соответствует требованиям, но требует большей конкретики в механиках.",2.262418746948242,,80.0,False
TASK_248325,template,"### Название проекта
Проект Adventure 8325

### Краткая концепция
Предлагается игра для семейства платформ PC, в которой центральный замысел строится вокруг следующего направления: проект is a parkour puzzleplatformer that combines freerunning with quick puzzles and problemsolving Gameplay is said to be inspired by Mirrors Edge Portal and Ultrakill with voxel graphics inspired by...

### Жанр и целевая аудитория
Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Platform, Puzzle. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.

### Основной игровой цикл
Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.

### Ключевые механики
Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.

### Платформа
Основная целевая группа устройств относится к семейству платформ PC. Управление и темп взаимодействия следует подстраивать под особенности данной среды.

### Художественный ориентир
целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения

### Ограничение по масштабу
Проект следует реализовывать как средний по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.

### Игровые аналоги
На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.

### Основные риски
Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.

### Первый план работ
На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",0.0,4,,2028,11,True,False,PC,Adventure,Just Keep Running,"Необходимо подготовить замысел игры для семейства платформ PC. Основной жанровый ориентир проекта: Adventure. Дополнительные жанровые признаки: Platform, Puzzle. Предполагаемый масштаб проекта: средний. Содержательное направление исходной идеи: проект is a parkour puzzleplatformer that combines freerunning with quick puzzles and problemsolving Gameplay is said to be inspired by Mirrors Edge Portal and Ultrakill with voxel graphics inspired by...",Проект Adventure 8325,"Предлагается игра для семейства платформ PC, в которой центральный замысел строится вокруг следующего направления: проект is a parkour puzzleplatformer that combines freerunning with quick puzzles and problemsolving Gameplay is said to be inspired by Mirrors Edge Portal and Ultrakill with voxel graphics inspired by...","Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Platform, Puzzle. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.","Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.","Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.",Основная целевая группа устройств относится к семейству платформ PC. Управление и темп взаимодействия следует подстраивать под особенности данной среды.,"целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения","Проект следует реализовывать как средний по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.","На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.","Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.","На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",1,0,1,1,4,4,3,4,4,5,"Документ в целом соответствует требованиям, но требует большей конкретики в механиках.",2.117537260055542,,80.0,False
TASK_136195,template,"### Название проекта
Проект Adventure 6195

### Краткая концепция
Предлагается игра для семейства платформ PlayStation, в которой центральный замысел строится вокруг следующего направления: From the creators of SENRAN KAGURA experience a new kind of racing game that blends tight cornering and aerial stunts with rapidfire shootouts all with a shimmering cheerful aesthetic Choose from one of seven different...

### Жанр и целевая аудитория
Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Racing. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.

### Основной игровой цикл
Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.

### Ключевые механики
Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.

### Платформа
Основная целевая группа устройств относится к семейству платформ PlayStation. Управление и темп взаимодействия следует подстраивать под особенности данной среды.

### Художественный ориентир
целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения

### Ограничение по масштабу
Проект следует реализовывать как средний по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.

### Игровые аналоги
На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.

### Основные риски
Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.

### Первый план работ
На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",0.0,4,,2053,11,True,False,PlayStation,Adventure,Kandagawa Jet Girls: Racing Hearts Edition,Необходимо подготовить замысел игры для семейства платформ PlayStation. Основной жанровый ориентир проекта: Adventure. Дополнительные жанровые признаки: Racing. Предполагаемый масштаб проекта: средний. Содержательное направление исходной идеи: From the creators of SENRAN KAGURA experience a new kind of racing game that blends tight cornering and aerial stunts with rapidfire shootouts all with a shimmering cheerful aesthetic Choose from one of seven different...,Проект Adventure 6195,"Предлагается игра для семейства платформ PlayStation, в которой центральный замысел строится вокруг следующего направления: From the creators of SENRAN KAGURA experience a new kind of racing game that blends tight cornering and aerial stunts with rapidfire shootouts all with a shimmering cheerful aesthetic Choose from one of seven different...","Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Racing. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.","Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.","Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.",Основная целевая группа устройств относится к семейству платформ PlayStation. Управление и темп взаимодействия следует подстраивать под особенности данной среды.,"целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения","Проект следует реализовывать как средний по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.","На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.","Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.","На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",1,0,1,1,4,4,3,4,4,5,"Документ в целом соответствует требованиям, но требует большей конкретики в механиках.",2.0340304374694824,,80.0,False
TASK_218222,template,"### Название проекта
Проект Adventure 8222

### Краткая концепция
Предлагается игра для семейства платформ PlayStation, в которой центральный замысел строится вокруг следующего направления: Raise baby dragons and teach them their elemental magic Our little friends need you to help them spread their wings From their hatching stage to the moment theyll be able to fly on their own take care of your baby...

### Жанр и целевая аудитория
Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Simulator, Indie. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.

### Основной игровой цикл
Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.

### Ключевые механики
Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.

### Платформа
Основная целевая группа устройств относится к семейству платформ PlayStation. Управление и темп взаимодействия следует подстраивать под особенности данной среды.

### Художественный ориентир
целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения

### Ограничение по масштабу
Проект следует реализовывать как крупный по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.

### Игровые аналоги
На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.

### Основные риски
Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.

### Первый план работ
На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",0.0,4,,2058,11,True,False,PlayStation,Adventure,My Universe: My Baby Dragon,"Необходимо подготовить замысел игры для семейства платформ PlayStation. Основной жанровый ориентир проекта: Adventure. Дополнительные жанровые признаки: Simulator, Indie. Предполагаемый масштаб проекта: крупный. Содержательное направление исходной идеи: Raise baby dragons and teach them their elemental magic Our little friends need you to help them spread their wings From their hatching stage to the moment theyll be able to fly on their own take care of your baby...",Проект Adventure 8222,"Предлагается игра для семейства платформ PlayStation, в которой центральный замысел строится вокруг следующего направления: Raise baby dragons and teach them their elemental magic Our little friends need you to help them spread their wings From their hatching stage to the moment theyll be able to fly on their own take care of your baby...","Основной жанр проекта: Adventure. Дополнительные жанровые признаки: Simulator, Indie. Основная аудитория включает пользователей, которым интересны adventure-проекты с умеренной сложностью освоения.","Игрок получает задачу, изучает игровую ситуацию, выполняет ключевое действие, получает результат и открывает следующий фрагмент прохождения.","Базовый набор механик включает исследование пространства, поиск маршрутов, взаимодействие с окружением и решение ситуационных задач. Механики должны сочетаться с постепенным наращиванием сложности.",Основная целевая группа устройств относится к семейству платформ PlayStation. Управление и темп взаимодействия следует подстраивать под особенности данной среды.,"целесообразно использовать выразительные локации, контрастные ориентиры и узнаваемые объекты окружения","Проект следует реализовывать как крупный по масштабу продукт, в котором объем контента и число систем ограничиваются рамками учебной разработки.","На данном способе подготовки документа игровые аналоги намеренно не используются, чтобы сохранить шаблонный базовый уровень для последующего сравнения.","Главные риски связаны с избыточным расширением замысла, размыванием центральной механики, а также несоответствием объема контента заявленному масштабу проекта.","На первом шаге требуется уточнить ядро замысла, затем зафиксировать набор механик, после этого определить структуру прототипа и только затем переходить к наполнению контентом.",1,0,1,1,4,4,3,3,4,4,"Документ в целом соответствует требованиям, но требует большей конкретики.",2.3364949226379395,,73.33,False
